id,nome,bandeira,endereco,bairro,cidade,estado,cep,latitude,longitude,preco_gasolina,preco_alcool,preco_diesel,preco_gnv,data_coleta,fonte
ANP_CE_Cidade_1_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 7871",Bairro 7,Cidade 1,CE,56026-624,-3.7474636745108896,-38.985663042914396,"5,36","4,52","5,55",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 861",Bairro 2,Cidade 1,CE,76563-554,-3.75991808812696,-38.739001508934315,"5,78","3,99","4,91",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_2,Posto Petrobras 3,Petrobras,"Av. Principal, 890",Bairro 1,Cidade 1,CE,45995-311,-3.44190396881967,-38.30162831834476,"5,02","4,37","4,62",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_3,Posto Petrobras 4,Petrobras,"Av. Principal, 1490",Bairro 7,Cidade 1,CE,77950-514,-3.304538875193615,-38.21276729059522,"6,46","4,96","5,96",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_4,Posto Bandeira Branca 5,Bandeira Branca,"Av. Principal, 5149",Bairro 4,Cidade 1,CE,52531-883,-4.095873964121664,-39.03780962112763,"6,14","4,32","5,48",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_5,Posto Shell 6,Shell,"Av. Principal, 7260",Bairro 9,Cidade 1,CE,26401-191,-3.858095308267152,-38.93502661673634,"5,92","4,36","5,11",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_6,Posto Shell 7,Shell,"Av. Principal, 7653",Bairro 3,Cidade 1,CE,17758-441,-3.964519393473397,-38.65846686284948,"6,22","3,96","5,59",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_7,Posto Shell 8,Shell,"Av. Principal, 1751",Bairro 1,Cidade 1,CE,88524-755,-3.331901543121371,-39.02977255573041,"6,02","4,64","4,54",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_8,Posto Ipiranga 9,Ipiranga,"Av. Principal, 4244",Bairro 8,Cidade 1,CE,30157-357,-3.270520548322225,-38.086564926292326,"6,42","3,66","5,32",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_9,Posto Ipiranga 10,Ipiranga,"Av. Principal, 8274",Bairro 9,Cidade 1,CE,42386-461,-4.001935655220895,-38.294743425400554,"5,59","4,41","4,57",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_10,Posto Shell 11,Shell,"Av. Principal, 2164",Bairro 8,Cidade 1,CE,90431-161,-3.6861275422149404,-38.92947376333203,"5,62","3,57","5,02",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_11,Posto Petrobras 12,Petrobras,"Av. Principal, 2200",Bairro 4,Cidade 1,CE,94655-828,-4.077055379440568,-38.407008612742786,"6,00","3,57","5,45",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_12,Posto Bandeira Branca 13,Bandeira Branca,"Av. Principal, 5211",Bairro 4,Cidade 1,CE,59684-378,-3.470830294237449,-38.34486427541041,"5,08","4,77","5,17",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_13,Posto Petrobras 14,Petrobras,"Av. Principal, 7178",Bairro 9,Cidade 1,CE,55532-906,-4.001864958663235,-38.14783288373662,"6,32","4,82","5,21",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_14,Posto Ale 15,Ale,"Av. Principal, 9899",Bairro 5,Cidade 1,CE,35952-750,-4.200898641016765,-38.46394071200234,"5,70","3,58","4,95",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_15,Posto Ale 16,Ale,"Av. Principal, 2259",Bairro 9,Cidade 1,CE,55998-780,-3.4200022037298883,-38.33904783645805,"6,38","4,31","5,50",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_16,Posto Bandeira Branca 17,Bandeira Branca,"Av. Principal, 2064",Bairro 1,Cidade 1,CE,44605-926,-3.7677960518143068,-38.86924547123789,"5,99","3,53","6,00",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_17,Posto Raízen 18,Raízen,"Av. Principal, 6271",Bairro 8,Cidade 1,CE,55169-130,-3.427978687776139,-38.28048732801756,"6,41","4,00","5,51",N/A,2025-05-18,ANP
ANP_CE_Cidade_1_-_CE_18,Posto Petrobras 19,Petrobras,"Av. Principal, 9957",Bairro 9,Cidade 1,CE,38034-977,-4.08266171335531,-38.57199170486825,"6,50","4,49","5,97",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 3445",Bairro 5,Cidade 2,CE,68581-191,-3.90697311031668,-38.900530707853534,"6,42","3,62","5,89",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 7657",Bairro 7,Cidade 2,CE,30499-573,-4.08924788739375,-38.43474430854976,"5,48","4,31","5,45",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_2,Posto Bandeira Branca 3,Bandeira Branca,"Av. Principal, 4065",Bairro 1,Cidade 2,CE,18705-933,-3.5694898175441403,-38.63215475082614,"5,06","4,77","4,72",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_3,Posto Ipiranga 4,Ipiranga,"Av. Principal, 1612",Bairro 9,Cidade 2,CE,15866-241,-3.4743203220180705,-38.06417838436088,"5,78","3,92","5,84",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_4,Posto Ale 5,Ale,"Av. Principal, 1311",Bairro 9,Cidade 2,CE,42093-850,-4.160989171640582,-38.57958415068397,"5,32","4,30","5,82",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_5,Posto Petrobras 6,Petrobras,"Av. Principal, 4452",Bairro 5,Cidade 2,CE,35576-383,-4.032446420677163,-38.485314042697084,"5,95","3,54","5,97",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_6,Posto Bandeira Branca 7,Bandeira Branca,"Av. Principal, 611",Bairro 4,Cidade 2,CE,93991-765,-3.9377369386175363,-38.899049116299935,"6,44","4,91","4,57",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_7,Posto Raízen 8,Raízen,"Av. Principal, 304",Bairro 6,Cidade 2,CE,22037-756,-3.219325877174037,-38.37639781419897,"5,54","3,59","5,55",N/A,2025-05-18,ANP
ANP_CE_Cidade_2_-_CE_8,Posto Shell 9,Shell,"Av. Principal, 7619",Bairro 6,Cidade 2,CE,55178-861,-3.8977648627542774,-38.07687478992401,"5,73","3,65","5,23",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_0,Posto Shell 1,Shell,"Av. Principal, 3874",Bairro 2,Cidade 3,CE,20759-450,-4.127528450438442,-38.7061223033508,"5,70","3,89","4,57",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_1,Posto Ale 2,Ale,"Av. Principal, 8175",Bairro 8,Cidade 3,CE,96346-711,-3.8218243006160386,-38.700614927573476,"5,30","4,57","4,97",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_2,Posto Shell 3,Shell,"Av. Principal, 8344",Bairro 1,Cidade 3,CE,85156-541,-3.7896831785348284,-38.642974190081816,"5,74","3,90","4,96",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_3,Posto Petrobras 4,Petrobras,"Av. Principal, 8388",Bairro 9,Cidade 3,CE,33317-621,-4.092898865716535,-38.77591992271536,"5,11","3,64","5,65",N/A,2025-05-18,ANP
ANP_CE_Cidade_3_-_CE_4,Posto Shell 5,Shell,"Av. Principal, 6868",Bairro 1,Cidade 3,CE,63327-991,-3.891884421301637,-38.90271610375249,"5,02","4,24","5,45",N/A,2025-05-18,ANP
