id,nome,bandeira,endereco,bairro,cidade,estado,cep,latitude,longitude,preco_gasolina,preco_alcool,preco_diesel,preco_gnv,data_coleta,fonte,fontes
ANP_CE_Cidade_1_-_CE_0,Posto Petrobras 1,Petrobras,"Av. Principal, 7871",Bairro 7,Cidade 1,CE,56026-624,-3.7474636745108896,-38.985663042914396,"5,36","4,52","5,55",N/A,2025-05-18,ANP,['ANP']
ANP_CE_Cidade_1_-_CE_1,Posto Petrobras 2,Petrobras,"Av. Principal, 861",Bairro 2,Cidade 1,CE,76563-554,-3.75991808812696,-38.739001508934315,"5,78","3,99","4,91",N/A,2025-05-18,ANP,
ANP_CE_Cidade_1_-_CE_2,Posto Petrobras 3,Petrobras,"Av. Principal, 890",Bairro 1,Cidade 1,CE,45995-311,-3.44190396881967,-38.30162831834476,"5,02","4,37","4,62",N/A,2025-05-18,ANP,['ANP']
PC_CE_Cidade_PC_5_-_CE_2,Auto Posto Raízen Cidade PC 5 3,Raízen,"Rua Comercial, 8350",Bairro PC 9,Cidade PC 5,CE,70470-956,-3.436142957692471,-38.36706722244064,"5,79","4,10","5,49","3,67",2025-05-18,PrecosCombustiveis,
ANP_CE_Cidade_1_-_CE_3,Posto Petrobras 4,Petrobras,"Av. Principal, 1490",Bairro 7,Cidade 1,CE,77950-514,-3.304538875193615,-38.21276729059522,"6,46","4,96","5,96",N/A,2025-05-18,ANP,
ANP_CE_Cidade_4_-_CE_0,Posto Shell 1,Shell,"Av. Principal, 4884",Bairro 5,Cidade 4,CE,75579-790,-3.338650263819539,-38.288132966436386,"6,10","4,79","5,06",N/A,2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_5_-_CE_4,Posto Ipiranga 5,Ipiranga,"Av. Principal, 6159",Bairro 9,Cidade 5,CE,86405-343,-3.398621396587943,-38.22073417723816,"6,23","3,98","4,85","3,18",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_4,Posto Bandeira Branca 5,Bandeira Branca,"Av. Principal, 5149",Bairro 4,Cidade 1,CE,52531-883,-4.095873964121664,-39.03780962112763,"6,14","4,32","5,48",N/A,2025-05-18,ANP,
ANP_CE_Cidade_1_-_CE_5,Posto Shell 6,Shell,"Av. Principal, 7260",Bairro 9,Cidade 1,CE,26401-191,-3.858095308267152,-38.93502661673634,"5,92","4,36","5,11","3,78",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
ANP_CE_Cidade_1_-_CE_6,Posto Shell 7,Shell,"Av. Principal, 7653",Bairro 3,Cidade 1,CE,17758-441,-3.964519393473397,-38.65846686284948,"6,22","3,96","5,59","3,26",2025-05-18,ANP,"['ANP', 'PrecosCombustiveis']"
