id,nome,bandeira,endereco,bairro,cidade,estado,cep,latitude,longitude,preco_gasolina,preco_alcool,preco_diesel,preco_gnv,data_coleta,fonte
PC_ES_Cidade_PC_1_-_ES_0,Auto Posto Shell Cidade PC 1 1,Shell,"Rua Secundária, 4828",Bairro PC 2,Cidade PC 1,ES,92206-377,-19.23716483748522,-40.526540979981526,"5,77","4,81","5,35","4,02",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_1,Auto Posto Shell Cidade PC 1 2,Shell,"Rua Secundária, 2381",Bairro PC 2,Cidade PC 1,ES,39272-742,-19.06552309058139,-40.55590331309567,"5,85","3,81","5,60","3,75",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_2,Auto Posto Shell Cidade PC 1 3,Shell,"Rua Principal, 7799",Bairro PC 7,Cidade PC 1,ES,96710-148,-19.068983624630924,-40.66584715903402,"5,75","3,96","5,76","3,20",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_3,Auto Posto Ale Cidade PC 1 4,Ale,"Rua Comercial, 865",Bairro PC 2,Cidade PC 1,ES,44962-462,-19.40686480732095,-39.97845594127633,"5,46","4,86","5,63","3,94",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_4,Auto Posto Bandeira Branca Cidade PC 1 5,Bandeira Branca,"Rua Secundária, 2087",Bairro PC 9,Cidade PC 1,ES,26448-582,-18.962290267991477,-40.58381039059248,"6,09","4,34","5,75",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_5,Auto Posto Ipiranga Cidade PC 1 6,Ipiranga,"Rua Secundária, 3942",Bairro PC 9,Cidade PC 1,ES,56560-385,-19.537919808637074,-40.06347822994742,"5,88","4,48","5,06",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_6,Auto Posto Shell Cidade PC 1 7,Shell,"Rua Comercial, 2352",Bairro PC 4,Cidade PC 1,ES,84913-381,-19.153438065920362,-40.46444287245913,"6,05","4,26","5,14","3,72",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_7,Auto Posto Raízen Cidade PC 1 8,Raízen,"Rua Secundária, 4517",Bairro PC 7,Cidade PC 1,ES,99304-662,-19.21099966217831,-40.21624290537926,"6,09","4,22","6,01",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_8,Auto Posto Bandeira Branca Cidade PC 1 9,Bandeira Branca,"Rua Secundária, 8464",Bairro PC 10,Cidade PC 1,ES,63827-933,-19.03122966318264,-40.57569824314399,"6,14","4,23","5,47","3,97",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_1_-_ES_9,Auto Posto Petrobras Cidade PC 1 10,Petrobras,"Rua Comercial, 2611",Bairro PC 7,Cidade PC 1,ES,63209-377,-19.406867590277116,-40.69555188196429,"6,45","3,70","5,38",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_0,Auto Posto Raízen Cidade PC 2 1,Raízen,"Rua Secundária, 6524",Bairro PC 3,Cidade PC 2,ES,58003-125,-19.295884556821616,-40.245197853240334,"5,81","5,02","5,08",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_1,Auto Posto Shell Cidade PC 2 2,Shell,"Rua Comercial, 1819",Bairro PC 6,Cidade PC 2,ES,84202-759,-18.80817802324081,-40.6992446063348,"5,97","4,48","5,48","3,81",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_2,Auto Posto Ale Cidade PC 2 3,Ale,"Rua Principal, 2556",Bairro PC 9,Cidade PC 2,ES,99885-248,-19.458784878402327,-40.088061905277705,"5,85","3,89","5,57",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_3,Auto Posto Ipiranga Cidade PC 2 4,Ipiranga,"Rua Principal, 7743",Bairro PC 5,Cidade PC 2,ES,47739-468,-18.866308876688926,-40.31047722544098,"6,09","4,74","5,59","3,88",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_4,Auto Posto Raízen Cidade PC 2 5,Raízen,"Rua Comercial, 1947",Bairro PC 10,Cidade PC 2,ES,47561-659,-19.531472876949486,-40.44426486576834,"5,63","4,70","5,69",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_5,Auto Posto Bandeira Branca Cidade PC 2 6,Bandeira Branca,"Rua Principal, 9040",Bairro PC 3,Cidade PC 2,ES,12430-287,-18.854456779503092,-40.47925975539318,"5,79","5,08","5,84","3,32",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_6,Auto Posto Shell Cidade PC 2 7,Shell,"Rua Principal, 4257",Bairro PC 2,Cidade PC 2,ES,16450-820,-19.39005432117399,-40.207348348825384,"5,43","4,61","4,74",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_7,Auto Posto Ale Cidade PC 2 8,Ale,"Rua Principal, 5817",Bairro PC 7,Cidade PC 2,ES,92166-321,-19.11850491081885,-40.637024240137244,"6,55","5,01","4,73",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_2_-_ES_8,Auto Posto Petrobras Cidade PC 2 9,Petrobras,"Rua Comercial, 4908",Bairro PC 8,Cidade PC 2,ES,50973-416,-19.567084938559077,-40.66271402661319,"6,44","4,25","6,02","3,66",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_0,Auto Posto Ale Cidade PC 3 1,Ale,"Rua Secundária, 5496",Bairro PC 7,Cidade PC 3,ES,97710-749,-19.533208334828334,-40.66751661323192,"5,83","4,34","5,08","3,24",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_1,Auto Posto Shell Cidade PC 3 2,Shell,"Rua Secundária, 1850",Bairro PC 8,Cidade PC 3,ES,21087-459,-19.516448447338135,-40.02351334443788,"5,12","4,63","4,91",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_2,Auto Posto Raízen Cidade PC 3 3,Raízen,"Rua Secundária, 1226",Bairro PC 9,Cidade PC 3,ES,20097-201,-19.47826745348177,-40.156943180234386,"5,40","4,71","5,74",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_3,Auto Posto Bandeira Branca Cidade PC 3 4,Bandeira Branca,"Rua Secundária, 3118",Bairro PC 9,Cidade PC 3,ES,18559-506,-19.474739044499437,-39.921618545856084,"5,24","4,26","4,95",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_4,Auto Posto Raízen Cidade PC 3 5,Raízen,"Rua Comercial, 3103",Bairro PC 4,Cidade PC 3,ES,46277-215,-19.470574727302303,-40.40703515461544,"6,37","4,74","5,07","3,98",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_5,Auto Posto Bandeira Branca Cidade PC 3 6,Bandeira Branca,"Rua Comercial, 5756",Bairro PC 3,Cidade PC 3,ES,90093-132,-19.50398754509991,-40.154086337868044,"5,79","5,03","5,92",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_6,Auto Posto Ipiranga Cidade PC 3 7,Ipiranga,"Rua Secundária, 7441",Bairro PC 7,Cidade PC 3,ES,33102-132,-18.814298782281146,-40.575505374169055,"5,20","4,64","5,54",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_7,Auto Posto Ale Cidade PC 3 8,Ale,"Rua Comercial, 7973",Bairro PC 6,Cidade PC 3,ES,41736-962,-19.05386581049922,-40.50286316478946,"5,87","4,97","5,35","4,27",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_8,Auto Posto Ipiranga Cidade PC 3 9,Ipiranga,"Rua Comercial, 7408",Bairro PC 10,Cidade PC 3,ES,99226-283,-18.940941444071036,-40.011051882961205,"6,03","3,76","5,57",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_3_-_ES_9,Auto Posto Petrobras Cidade PC 3 10,Petrobras,"Rua Principal, 5940",Bairro PC 7,Cidade PC 3,ES,49720-375,-18.99129198275292,-40.446908934664876,"5,57","4,52","4,60",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_0,Auto Posto Ale Cidade PC 4 1,Ale,"Rua Secundária, 4362",Bairro PC 5,Cidade PC 4,ES,44159-863,-19.080998171579434,-40.103746398573755,"6,03","4,79","4,71",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_1,Auto Posto Shell Cidade PC 4 2,Shell,"Rua Comercial, 6387",Bairro PC 8,Cidade PC 4,ES,20813-509,-19.146927520427578,-40.19938318895221,"6,32","3,95","5,42","3,08",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_2,Auto Posto Petrobras Cidade PC 4 3,Petrobras,"Rua Comercial, 6136",Bairro PC 1,Cidade PC 4,ES,99093-278,-18.839254536971225,-40.64076029432456,"5,92","4,28","6,08","4,41",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_3,Auto Posto Ale Cidade PC 4 4,Ale,"Rua Comercial, 3251",Bairro PC 4,Cidade PC 4,ES,69392-375,-19.139796367337244,-40.24285827974285,"6,36","4,80","5,39",N/A,2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_4,Auto Posto Ipiranga Cidade PC 4 5,Ipiranga,"Rua Comercial, 8881",Bairro PC 7,Cidade PC 4,ES,62924-807,-19.464675841164855,-40.45598999956998,"6,26","4,32","5,32","3,99",2025-05-18,PrecosCombustiveis
PC_ES_Cidade_PC_4_-_ES_5,Auto Posto Raízen Cidade PC 4 6,Raízen,"Rua Comercial, 8800",Bairro PC 2,Cidade PC 4,ES,25451-678,-19.458487228269405,-40.2830888476766,"5,52","4,39","5,31","4,25",2025-05-18,PrecosCombustiveis
